file_id,algorithm_name,variation_id,operation_label,crypto_type,xor_ops,shift_ops,add_ops,mul_ops,branch_ops,loop_ops,memory_access,bitwise_ops,entropy,bitFlipDensity,cyclomaticComplexity,basicBlocks,constantOccurrence,stringReferences,apiCalls,codeSize,dataSegmentSize,stackUsage,has_sbox,has_permutation,has_rounds,key_schedule,bitwise_heavy,arithmetic_heavy,is_proprietary
crypto_0_47,CustomXOR,47,Encryption,BlockCipher,13,32,12,31,34,13,22,13,4.1780,0.5370,38,20,30,1,13,844,211,369,0,0,0,0,0,0,1
crypto_0_48,CustomXOR,48,Encryption,BlockCipher,26,9,31,19,33,19,59,54,4.1745,0.5380,42,23,31,2,11,1728,228,388,0,0,0,0,1,0,1
crypto_0_49,CustomXOR,49,Encryption,BlockCipher,39,26,50,7,32,25,36,40,3.7715,0.5390,46,26,32,3,9,564,245,407,0,0,0,0,1,1,1
crypto_0_50,CustomXOR,50,Encryption,BlockCipher,52,43,24,30,31,6,73,26,3.3442,0.4900,10,29,33,4,7,1448,262,426,0,0,0,0,1,1,1
crypto_0_51,CustomXOR,51,Encryption,BlockCipher,15,20,43,18,30,12,50,12,3.2900,0.4910,14,32,34,5,5,284,279,445,0,0,0,0,0,1,1
crypto_0_52,CustomXOR,52,Encryption,BlockCipher,28,37,17,6,29,18,27,53,3.6633,0.4920,18,35,5,6,3,1168,296,464,0,0,0,0,1,0,1
crypto_0_53,CustomXOR,53,Encryption,BlockCipher,41,14,36,29,28,24,64,39,4.1256,0.4930,22,38,6,7,16,2052,313,483,0,0,0,0,1,1,1
crypto_0_54,CustomXOR,54,Encryption,BlockCipher,54,31,10,17,27,5,41,25,4.2563,0.4940,26,41,7,8,14,888,330,502,0,0,0,0,1,0,1
crypto_0_55,CustomXOR,55,Encryption,BlockCipher,17,8,29,5,26,11,18,66,3.9400,0.4950,30,44,8,9,12,1772,347,521,0,0,0,0,1,0,1
crypto_0_56,CustomXOR,56,Encryption,BlockCipher,30,25,48,28,25,17,55,52,3.4719,0.4960,34,47,9,0,10,608,364,540,0,0,0,0,1,1,1
crypto_0_57,CustomXOR,57,Encryption,BlockCipher,43,42,22,16,24,23,32,38,3.2872,0.4970,38,50,10,1,8,1492,381,559,0,0,0,0,1,0,1
crypto_0_58,CustomXOR,58,Encryption,BlockCipher,56,19,41,4,23,4,69,24,3.5601,0.4980,42,53,11,2,6,328,398,578,0,0,0,0,1,0,1
crypto_0_59,CustomXOR,59,Encryption,BlockCipher,19,36,15,27,22,10,46,65,4.0444,0.4990,46,56,12,3,4,1212,415,597,0,0,0,0,1,0,1
crypto_0_60,CustomXOR,60,Encryption,BlockCipher,32,13,34,15,21,16,23,51,4.2994,0.5000,10,59,13,4,17,2096,432,616,0,0,0,0,1,0,1
crypto_0_61,CustomXOR,61,Encryption,BlockCipher,45,30,8,3,20,22,60,37,4.0953,0.5010,14,62,14,5,15,932,449,635,0,0,0,0,1,0,1
crypto_0_62,CustomXOR,62,Encryption,BlockCipher,58,7,27,26,19,3,37,23,3.6243,0.5020,18,65,15,6,13,1816,466,654,0,0,0,0,1,1,1
crypto_0_63,CustomXOR,63,Encryption,BlockCipher,21,24,46,14,18,9,74,64,3.3240,0.5030,22,68,16,7,11,652,483,673,0,0,0,0,1,1,1
crypto_0_64,CustomXOR,64,Encryption,BlockCipher,34,41,20,37,17,15,51,50,3.4752,0.5040,26,71,17,8,9,1536,500,692,0,0,0,0,1,1,1
crypto_0_65,CustomXOR,65,Encryption,BlockCipher,47,18,39,25,16,21,28,36,3.9434,0.5050,30,74,18,9,7,372,517,711,0,0,0,0,1,1,1
crypto_0_66,CustomXOR,66,Encryption,BlockCipher,10,35,13,13,15,2,65,22,4.3027,0.5060,34,17,19,0,5,1256,534,730,0,0,0,0,0,0,1
crypto_0_67,CustomXOR,67,Encryption,BlockCipher,23,12,32,36,14,8,42,63,4.2275,0.5070,38,20,20,1,3,2140,551,749,0,0,0,0,1,1,1
crypto_0_68,CustomXOR,68,Encryption,BlockCipher,36,29,51,24,13,14,19,49,3.7914,0.5080,42,23,21,2,16,976,568,768,0,0,0,0,1,1,1
crypto_0_69,CustomXOR,69,Encryption,BlockCipher,49,6,25,12,12,20,56,35,3.4000,0.5090,46,26,22,3,14,1860,73,787,0,0,0,0,1,0,1
crypto_0_70,CustomXOR,70,Encryption,BlockCipher,12,23,44,35,11,26,33,21,3.4177,0.5100,10,29,23,4,12,696,90,806,0,0,0,0,0,1,1
crypto_0_71,CustomXOR,71,Encryption,BlockCipher,25,40,18,23,10,7,70,62,3.8329,0.5110,14,32,24,5,10,1580,107,825,0,0,0,0,1,0,1
crypto_0_72,CustomXOR,72,Encryption,BlockCipher,38,17,37,11,9,13,47,48,4.2684,0.5120,18,35,25,6,8,416,124,844,0,0,0,0,1,0,1
crypto_0_73,CustomXOR,73,Encryption,BlockCipher,51,34,11,34,8,19,24,34,4.3284,0.5130,22,38,26,7,6,1300,141,863,0,0,0,0,1,0,1
crypto_0_74,CustomXOR,74,Encryption,BlockCipher,14,11,30,22,7,25,61,20,3.9623,0.5140,26,41,27,8,4,2184,158,882,0,0,0,0,0,1,1
crypto_0_75,CustomXOR,75,Encryption,BlockCipher,27,28,49,10,6,6,38,61,3.5114,0.5150,30,44,28,9,17,1020,175,133,0,0,0,0,1,1,1
crypto_0_76,CustomXOR,76,Encryption,BlockCipher,40,5,23,33,5,12,15,47,3.3947,0.5160,34,47,29,0,15,1904,192,152,0,0,0,0,1,1,1
crypto_0_77,CustomXOR,77,Encryption,BlockCipher,53,22,42,21,34,18,52,33,3.7242,0.5170,38,50,30,1,13,740,209,171,0,0,0,0,1,1,1
crypto_0_78,CustomXOR,78,Encryption,BlockCipher,16,39,16,9,33,24,29,19,4.2015,0.5180,42,53,31,2,11,1624,226,190,0,0,0,0,0,0,1
crypto_0_79,CustomXOR,79,Encryption,BlockCipher,29,16,35,32,32,5,66,60,4.3924,0.5190,46,56,32,3,9,460,243,209,0,0,0,0,1,1,1
crypto_0_80,CustomXOR,80,Encryption,BlockCipher,42,33,9,20,31,11,43,46,4.1260,0.5200,10,59,33,4,7,1344,260,228,0,0,0,0,1,0,1
crypto_0_81,CustomXOR,81,Encryption,BlockCipher,55,10,28,8,30,17,20,32,3.6518,0.5210,14,62,34,5,5,2228,277,247,0,0,0,0,1,0,1
crypto_0_82,CustomXOR,82,Encryption,BlockCipher,18,27,47,31,29,23,57,18,3.4104,0.5220,18,65,5,6,3,1064,294,266,0,0,0,0,0,1,1
crypto_0_83,CustomXOR,83,Encryption,BlockCipher,31,44,21,19,28,4,34,59,3.6283,0.5230,22,68,6,7,16,1948,311,285,0,0,0,0,1,0,1
crypto_0_84,CustomXOR,84,Encryption,BlockCipher,44,21,40,7,27,10,71,45,4.1098,0.5240,26,71,7,8,14,784,328,304,0,0,0,0,1,0,1
crypto_0_85,CustomXOR,85,Encryption,BlockCipher,57,38,14,30,26,16,48,31,4.4168,0.5250,30,74,8,9,12,1668,345,323,0,0,0,0,1,0,1
crypto_0_86,CustomXOR,86,Encryption,BlockCipher,20,15,33,18,25,22,25,17,4.2716,0.5260,34,17,9,0,10,504,362,342,0,0,0,0,0,1,1
crypto_0_87,CustomXOR,87,Encryption,BlockCipher,33,32,52,6,24,3,62,58,3.8123,0.5270,38,20,10,1,8,1388,379,361,0,0,0,0,1,1,1
crypto_0_88,CustomXOR,88,Encryption,BlockCipher,46,9,26,29,23,9,39,44,3.4658,0.5280,42,23,11,2,6,2272,396,380,0,0,0,0,1,1,1
crypto_0_89,CustomXOR,89,Encryption,BlockCipher,59,26,45,17,22,15,16,30,3.5553,0.5290,46,26,12,3,4,1108,413,399,0,0,0,0,1,1,1
crypto_0_90,CustomXOR,90,Encryption,BlockCipher,22,43,19,5,21,21,53,16,4.0030,0.5300,10,29,13,4,17,1992,430,418,0,0,0,0,1,0,1
crypto_0_91,CustomXOR,91,Encryption,BlockCipher,35,20,38,28,20,2,30,57,4.4020,0.5310,14,32,14,5,15,828,447,437,0,0,0,0,1,1,1
crypto_0_92,CustomXOR,92,Encryption,BlockCipher,48,37,12,16,19,8,67,43,4.3900,0.5320,18,35,15,6,13,1712,464,456,0,0,0,0,1,0,1
crypto_0_93,CustomXOR,93,Encryption,BlockCipher,11,14,31,4,18,14,44,29,3.9827,0.5330,22,38,16,7,11,548,481,475,0,0,0,0,0,0,1
crypto_0_94,CustomXOR,94,Encryption,BlockCipher,24,31,50,27,17,20,21,15,3.5591,0.5340,26,41,17,8,9,1432,498,494,0,0,0,0,0,1,1
crypto_0_95,CustomXOR,95,Encryption,BlockCipher,37,8,24,15,16,26,58,56,3.5133,0.5350,30,44,18,9,7,268,515,513,0,0,0,0,1,0,1
crypto_0_96,CustomXOR,96,Encryption,BlockCipher,50,25,43,3,15,7,35,42,3.8920,0.5360,34,47,19,0,5,1152,532,532,0,0,0,0,1,0,1
crypto_0_97,CustomXOR,97,Encryption,BlockCipher,13,42,17,26,14,13,72,28,4.3516,0.5370,38,50,20,1,3,2036,549,551,0,0,0,0,1,0,1
crypto_0_98,CustomXOR,98,Encryption,BlockCipher,26,19,36,14,13,19,49,14,4.4742,0.5380,42,53,21,2,16,872,566,570,0,0,0,0,0,0,1
crypto_0_99,CustomXOR,99,Encryption,BlockCipher,39,36,10,37,12,25,26,55,4.1516,0.5390,46,56,22,3,14,1756,71,589,0,0,0,0,1,0,1
crypto_0_100,CustomXOR,100,Encryption,BlockCipher,52,13,29,25,11,6,63,41,3.1850,0.4900,10,59,23,4,12,592,88,608,0,0,0,0,1,1,1
crypto_0_101,CustomXOR,101,Encryption,BlockCipher,15,30,48,13,10,12,40,27,3.0081,0.4910,14,62,24,5,10,1476,105,627,0,0,0,0,0,1,1
crypto_0_102,CustomXOR,102,Encryption,BlockCipher,28,7,22,36,9,18,17,13,3.2880,0.4920,18,65,25,6,8,312,122,646,0,0,0,0,0,1,1
crypto_0_103,CustomXOR,103,Encryption,BlockCipher,41,24,41,24,8,24,54,54,3.7720,0.4930,22,68,26,7,6,1196,139,665,0,0,0,0,1,1,1
crypto_0_104,CustomXOR,104,Encryption,BlockCipher,54,41,15,12,7,5,31,40,4.0198,0.4940,26,71,27,8,4,2080,156,684,0,0,0,0,1,0,1
crypto_0_105,CustomXOR,105,Encryption,BlockCipher,17,18,34,35,6,11,68,26,3.8080,0.4950,30,74,28,9,17,916,173,703,0,0,0,0,0,1,1
crypto_0_106,CustomXOR,106,Encryption,BlockCipher,30,35,8,23,5,17,45,12,3.3361,0.4960,34,17,29,0,15,1800,190,722,0,0,0,0,0,0,1
crypto_0_107,CustomXOR,107,Encryption,BlockCipher,43,12,27,11,34,23,22,53,3.0424,0.4970,38,20,30,1,13,636,207,741,0,0,0,0,1,0,1
crypto_0_108,CustomXOR,108,Encryption,BlockCipher,56,29,46,34,33,4,59,39,3.2016,0.4980,42,23,31,2,11,1520,224,760,0,0,0,0,1,1,1
crypto_0_109,CustomXOR,109,Encryption,BlockCipher,19,6,20,22,32,10,36,25,3.6720,0.4990,46,26,32,3,9,356,241,779,0,0,0,0,0,0,1
crypto_0_110,CustomXOR,110,Encryption,BlockCipher,32,23,39,10,31,16,73,66,4.0255,0.5000,10,29,33,4,7,1240,258,798,0,0,0,0,1,0,1
crypto_0_111,CustomXOR,111,Encryption,BlockCipher,45,40,13,33,30,22,50,52,3.9419,0.5010,14,32,34,5,5,2124,275,817,0,0,0,0,1,0,1
crypto_0_112,CustomXOR,112,Encryption,BlockCipher,58,17,32,21,29,3,27,38,3.5026,0.5020,18,35,5,6,3,960,292,836,0,0,0,0,1,1,1
crypto_0_113,CustomXOR,113,Encryption,BlockCipher,21,34,51,9,28,9,64,24,3.1160,0.5030,22,38,6,7,16,1844,309,855,0,0,0,0,0,1,1
crypto_0_114,CustomXOR,114,Encryption,BlockCipher,34,11,25,32,27,15,41,65,3.1423,0.5040,26,41,7,8,14,680,326,874,0,0,0,0,1,1,1
crypto_0_115,CustomXOR,115,Encryption,BlockCipher,47,28,44,20,26,21,18,51,3.5618,0.5050,30,44,8,9,12,1564,343,893,0,0,0,0,1,1,1
crypto_0_116,CustomXOR,116,Encryption,BlockCipher,10,5,18,8,25,2,55,37,3.9934,0.5060,34,47,9,0,10,400,360,144,0,0,0,0,0,0,1
crypto_0_117,CustomXOR,117,Encryption,BlockCipher,23,22,37,31,24,8,32,23,4.0450,0.5070,38,50,10,1,8,1284,377,163,0,0,0,0,0,1,1
crypto_0_118,CustomXOR,118,Encryption,BlockCipher,36,39,11,19,23,14,69,64,3.6736,0.5080,42,53,11,2,6,2168,394,182,0,0,0,0,1,0,1
crypto_0_119,CustomXOR,119,Encryption,BlockCipher,49,16,30,7,22,20,46,50,3.2254,0.5090,46,56,12,3,4,1004,411,201,0,0,0,0,1,0,1
crypto_0_120,CustomXOR,120,Encryption,BlockCipher,12,33,49,30,21,26,23,36,3.1170,0.5100,10,59,13,4,17,1888,428,220,0,0,0,0,1,1,1
crypto_0_121,CustomXOR,121,Encryption,BlockCipher,25,10,23,18,20,7,60,22,3.4526,0.5110,14,62,14,5,15,724,445,239,0,0,0,0,0,0,1
crypto_0_122,CustomXOR,122,Encryption,BlockCipher,38,27,42,6,19,13,37,63,3.9284,0.5120,18,65,15,6,13,1608,462,258,0,0,0,0,1,0,1
crypto_0_123,CustomXOR,123,Encryption,BlockCipher,51,44,16,29,18,19,74,49,4.1114,0.5130,22,68,16,7,11,444,479,277,0,0,0,0,1,0,1
crypto_0_124,CustomXOR,124,Encryption,BlockCipher,14,21,35,17,17,25,51,35,3.8380,0.5140,26,71,17,8,9,1328,496,296,0,0,0,0,0,1,1
crypto_0_125,CustomXOR,125,Encryption,BlockCipher,27,38,9,5,16,6,28,21,3.3642,0.5150,30,74,18,9,7,2212,513,315,0,0,0,0,1,0,1
crypto_0_126,CustomXOR,126,Encryption,BlockCipher,40,15,28,28,15,12,65,62,3.1301,0.5160,34,17,19,0,5,1048,530,334,0,0,0,0,1,1,1
crypto_0_127,CustomXOR,127,Encryption,BlockCipher,53,32,47,16,14,18,42,48,3.3556,0.5170,38,20,20,1,3,1932,547,353,0,0,0,0,1,1,1
crypto_0_128,CustomXOR,128,Encryption,BlockCipher,16,9,21,4,13,24,19,34,3.8380,0.5180,42,23,21,2,16,768,564,372,0,0,0,0,0,0,1
crypto_0_129,CustomXOR,129,Encryption,BlockCipher,29,26,40,27,12,5,56,20,4.1383,0.5190,46,26,22,3,14,1652,69,391,0,0,0,0,0,1,1
crypto_0_130,CustomXOR,130,Encryption,BlockCipher,42,43,14,15,11,11,33,61,3.9851,0.5200,10,29,23,4,12,488,86,410,0,0,0,0,1,0,1
crypto_0_131,CustomXOR,131,Encryption,BlockCipher,55,20,33,3,10,17,70,47,3.5238,0.5210,14,32,24,5,10,1372,103,429,0,0,0,0,1,0,1
crypto_0_132,CustomXOR,132,Encryption,BlockCipher,18,37,52,26,9,23,47,33,3.1831,0.5220,18,35,25,6,8,2256,120,448,0,0,0,0,1,1,1
crypto_0_133,CustomXOR,133,Encryption,BlockCipher,31,14,26,14,8,4,24,19,3.2809,0.5230,22,38,26,7,6,1092,137,467,0,0,0,0,0,0,1
crypto_0_134,CustomXOR,134,Encryption,BlockCipher,44,31,45,37,7,10,61,60,3.7318,0.5240,26,41,27,8,4,1976,154,486,0,0,0,0,1,1,1
crypto_0_135,CustomXOR,135,Encryption,BlockCipher,57,8,19,25,6,16,38,46,4.1259,0.5250,30,44,28,9,17,812,171,505,0,0,0,0,1,0,1
crypto_0_136,CustomXOR,136,Encryption,BlockCipher,20,25,38,13,5,22,15,32,4.1054,0.5260,34,47,29,0,15,1696,188,524,0,0,0,0,0,1,1
crypto_0_137,CustomXOR,137,Encryption,BlockCipher,33,42,12,36,34,3,52,18,3.6938,0.5270,38,50,30,1,13,532,205,543,0,0,0,0,1,0,1
crypto_0_138,CustomXOR,138,Encryption,BlockCipher,46,19,31,24,33,9,29,59,3.2741,0.5280,42,53,31,2,11,1416,222,562,0,0,0,0,1,1,1
crypto_0_139,CustomXOR,139,Encryption,BlockCipher,59,36,50,12,32,15,66,45,3.2368,0.5290,46,56,32,3,9,2300,239,581,0,0,0,0,1,1,1
crypto_0_140,CustomXOR,140,Encryption,BlockCipher,22,13,24,35,31,21,43,31,3.6207,0.5300,10,59,33,4,7,1136,256,600,0,0,0,0,0,1,1
crypto_0_141,CustomXOR,141,Encryption,BlockCipher,35,30,43,23,30,2,20,17,4.0776,0.5310,14,62,34,5,5,2020,273,619,0,0,0,0,1,1,1
crypto_0_142,CustomXOR,142,Encryption,BlockCipher,48,7,17,11,29,8,57,58,4.1919,0.5320,18,65,5,6,3,856,290,638,0,0,0,0,1,0,1
crypto_0_143,CustomXOR,143,Encryption,BlockCipher,11,24,36,34,28,14,34,44,3.8631,0.5330,22,68,6,7,16,1740,307,657,0,0,0,0,0,1,1
crypto_0_144,CustomXOR,144,Encryption,BlockCipher,24,41,10,22,27,20,71,30,3.3982,0.5340,26,71,7,8,14,576,324,676,0,0,0,0,1,0,1
crypto_0_145,CustomXOR,145,Encryption,BlockCipher,37,18,29,10,26,26,48,16,3.2291,0.5350,30,74,8,9,12,1460,341,695,0,0,0,0,0,0,1
crypto_0_146,CustomXOR,146,Encryption,BlockCipher,50,35,48,33,25,7,25,57,3.5159,0.5360,34,17,9,0,10,296,358,714,0,0,0,0,1,1,1
crypto_0_147,CustomXOR,147,Encryption,BlockCipher,13,12,22,21,24,13,62,43,3.9996,0.5370,38,20,10,1,8,1180,375,733,0,0,0,0,0,0,1
crypto_0_148,CustomXOR,148,Encryption,BlockCipher,26,29,41,9,23,19,39,29,4.2400,0.5380,42,23,11,2,6,2064,392,752,0,0,0,0,1,0,1
crypto_0_149,CustomXOR,149,Encryption,BlockCipher,39,6,15,32,22,25,16,15,4.0207,0.5390,46,26,12,3,4,900,409,771,0,0,0,0,0,0,1
crypto_0_150,CustomXOR,150,Encryption,BlockCipher,52,23,34,20,21,6,53,56,3.5479,0.4900,10,29,13,4,17,1784,426,790,0,0,0,0,1,1,1
crypto_0_151,CustomXOR,151,Encryption,BlockCipher,15,40,8,8,20,12,30,42,3.2610,0.4910,14,32,14,5,15,620,443,809,0,0,0,0,1,0,1
crypto_0_152,CustomXOR,152,Encryption,BlockCipher,28,17,27,31,19,18,67,28,3.4282,0.4920,18,35,15,6,13,1504,460,828,0,0,0,0,0,1,1
crypto_0_153,CustomXOR,153,Encryption,BlockCipher,41,34,46,19,18,24,44,14,3.9005,0.4930,22,38,16,7,11,340,477,847,0,0,0,0,1,1,1
crypto_0_154,CustomXOR,154,Encryption,BlockCipher,54,11,20,7,17,5,21,55,4.2482,0.4940,26,41,17,8,9,1224,494,866,0,0,0,0,1,0,1
crypto_0_155,CustomXOR,155,Encryption,BlockCipher,17,28,39,30,16,11,58,41,4.1562,0.4950,30,44,18,9,7,2108,511,885,0,0,0,0,1,1,1
crypto_0_156,CustomXOR,156,Encryption,BlockCipher,30,5,13,18,15,17,35,27,3.7138,0.4960,34,47,19,0,5,944,528,136,0,0,0,0,0,0,1
crypto_0_157,CustomXOR,157,Encryption,BlockCipher,43,22,32,6,14,23,72,13,3.3322,0.4970,38,50,20,1,3,1828,545,155,0,0,0,0,0,0,1
